AMT Concat,Concat Code,Comp Code,Mod Code,AMT Model,AMT Serial Prefix,AMT Component Code,AMT Modifier Code,MacMahon Serial Prefix,Functional Location,Position Code,Maintenance Item Description,Functional Location Code,Customer data Concat
FDB4006LF,FDB4006LF,4006,LF,793D,FDB,4006 - WHEEL & BRAKE ASSEMBLY,LF - LEFT FRONT,FDB,TKHL156-DRIV-WHGP,,20000H WHEEL GROUP CHANGE LHF,DRIV-WHGP,FDBDRIV-WHGP
FDB4006RF,FDB4006RF,4006,RF,793D,FDB,4006 - WHEEL & BRAKE ASSEMBLY,RF - RIGHT FRONT,FDB,TKHL154-DRIV-WHGP,,20000H WHEEL GROUP CHANGE RHF,DRIV-WHGP,FDBDRIV-WHGP
FDB4008RR,FDB4008RR,4008,RR,793D,FDB,"4008 - FINAL DRIVE, BRAKE & WHEEL",RR - RIGHT REAR,FDB,TKHL104-DRIV-FIDV,,19800H WHEEL END CHANGE RHR,DRIV-FIDV,FDBDRIV-FIDV
FDB4261FR,FDB4261FR,4261,FR,793D,FDB,4261 - BRAKE/SLACK ADJUSTER,FR - FRONT,FDB,,,12000H BRAKE SLACK ADJUSTER CHANGE FR,,
FDB4261RR,FDB4261RR,4261,RR,793D,FDB,4261 - BRAKE/SLACK ADJUSTER,RR - RIGHT REAR,FDB,,,12000H BRAKE SLACK ADJUSTER CHANGE RR,,
FDB4303LT,FDB4303LT,4303,LT,793D,FDB,4303 - STEERING CYLINDER,LT - LEFT,FDB,,,15000H STEERING CYLINDER CHANGE LH,,
FDB4303RI,FDB4303RI,4303,RI,793D,FDB,4303 - STEERING CYLINDER,RI - RIGHT,FDB,,,15000H STEERING CYLINDER CHANGE RH,,
FDB7201LF,FDB7201LF,7201,LF,793D,FDB,7201 - SUSPENSION CYLINDER,LF - LEFT FRONT,FDB,,,16000H SUSPENSION CYLINDER CHANGE LHF,,
FDB7201RF,FDB7201RF,7201,RF,793D,FDB,7201 - SUSPENSION CYLINDER,RF - RIGHT FRONT,FDB,,,16000H SUSPENSION CYLINDER CHANGE RHF,,
FDB7213LR,FDB7213LR,7213,LR,793D,FDB,7213 - REAR SUSPENSION CYLINDER,LR - LEFT REAR,FDB,,,16000H SUSPENSION CYLINDER CHANGE LHR,,
FDB7213RR,FDB7213RR,7213,RR,793D,FDB,7213 - REAR SUSPENSION CYLINDER,RR - RIGHT REAR,FDB,,,16000H SUSPENSION CYLINDER CHANGE RHR,,
FDB4305LT,FDB4305LT,4305,LT,793D,FDB,4305 - STEERING LINKAGE,LT - LEFT,FDB,,,18000H 4305.LT.CC.0 STEERING LINKAGE LH,,
FDB4305RI,FDB4305RI,4305,RI,793D,FDB,4305 - STEERING LINKAGE,RI - RIGHT,FDB,,,18000H 4305.RI.CC.0 STEERING LINKAGE RH,,
FDB4305CE,FDB4305CE,4305,CE,793D,FDB,4305 - STEERING LINKAGE,CE - CENTER,FDB,,,30000H 4305.CE.CC.0 STEERING LINKAGE CTR,,
FDB430600,FDB430600,4306,00,793D,FDB,4306 - STEERING PUMP,00 - (NONE),FDB,,,15000H 4306.00.CC.0 STEERING PUMP,,
H4C100000,H4C100000,1000,00,992K,H4C,1000 - ENGINE,00 - (NONE),H4C,LOFE001-ENGI,,15000H ENGINE CHANGE,ENGI,H4CENGI
