AMT Concat,Concat Code,Comp Code,Mod Code,AMT Model,AMT Serial Prefix,AMT Component Code,AMT Modifier Code,MacMahon Serial Prefix,Functional Location,Position Code,Maintenance Item Description,Functional Location Code,Customer data Concat
R9J4050LT,R9J4050LT,4050,LT,14M,R9J,4050 - FINAL DRIVE,LT - LEFT,R9J,GDGN002-DRIV-TAND,LH,12000H TANDEM CHANGE LH,DRIV-TAND,R9JDRIV-TANDLH
R9J4050RI,R9J4050RI,4050,RI,14M,R9J,4050 - FINAL DRIVE,RI - RIGHT,R9J,GDGN002-DRIV-TAND,RH,12000H TANDEM CHANGE RH,DRIV-TAND,R9JDRIV-TANDRH
R9J,R9J,,,14M,R9J,,,R9J,GDGN002-DRIV-TAND,,12000H TANDEM CHANGE LH,DRIV-TAND,R9JDRIV-TAND
RAB100000,RAB100000,1000,00,D10T2,RAB,1000 - ENGINE,00 - (NONE),RAB,DZTR077-ENGI,,16000H ENGINE CHANGE,ENGI,RABENGI
RAB106300,RAB106300,1063,00,D10T2,RAB,1063 - AFTERCOOLER,00 - (NONE),RAB,,,15000H AFTERCOOLER CHANGE LL,,
RAB125600,RAB125600,1256,00,D10T2,RAB,1256 - FUEL TRANSFER PUMP,00 - (NONE),RAB,,,15000H TRANS PUMP CHG,,
RAB131900,RAB131900,1319,00,D10T2,RAB,1319 - PRELUBRICATION PUMP,00 - (NONE),RAB,,,8000H PRE LUBE PUMP CHANGE,,
RAB135300,RAB135300,1353,00,D10T2,RAB,1353 - RADIATOR,00 - (NONE),RAB,DZTR077-ENGI-COSY,,16000H RADIATOR CHANGE,ENGI-COSY,RABENGI-COSY
RAB135600,RAB135600,1356,00,D10T2,RAB,1356 - FAN,00 - (NONE),RAB,,,24000H ENGINE FAN CHANGE,,
RAB137400,RAB137400,1374,00,D10T2,RAB,1374 - HYDRAULIC OIL COOLER,00 - (NONE),RAB,,,15000H HYDRAULIC OIL COOLER CHANGE,,
RAB137500,RAB137500,1375,00,D10T2,RAB,1375 - TORQUE CONVERTER/TRANSMISSION OIL COOLER,00 - (NONE),RAB,,,15000H T/C TRANS OIL COOLER CHANGE,,
RAB138600,RAB138600,1386,00,D10T2,RAB,1386 - HYDRAULIC FAN MOTOR,00 - (NONE),RAB,,,15000H FAN MOTOR CHANGE,,
RAB138700,RAB138700,1387,00,D10T2,RAB,1387 - HYDRAULIC FAN PUMP,00 - (NONE),RAB,,,15000H FAN PUMP CHANGE,,
RAB300600,RAB300600,3006,00,D10T2,RAB,3006 - TRANSMISSION & DIFFERENTIAL UNIT,00 - (NONE),RAB,DZTR093-DRIV-TMSN,,14000H TRANSMISSION CHANGE,DRIV-TMSN,RABDRIV-TMSN
RAB303000,RAB303000,3030,00,D10T2,RAB,3030 - TRANSMISSION,00 - (NONE),RAB,DZTR077-DRIV-TMSN,,14000H TRANSMISSION CHANGE,DRIV-TMSN,RABDRIV-TMSN
RAB306600,RAB306600,3066,00,D10T2,RAB,3066 - TRANSMISSION OIL PUMP,00 - (NONE),RAB,,,9000H TRANSMISSION PUMP CHANGE,,
RAB310100,RAB310100,3101,00,D10T2,RAB,3101 - TORQUE CONVERTER,00 - (NONE),RAB,DZTR077-DRIV-TQCV,,14000H TORQUE CONVERTER CHANGE,DRIV-TQCV,RABDRIV-TQCV
RAB325300,RAB325300,3253,00,D10T2,RAB,3253 - DRIVESHAFT,00 - (NONE),RAB,,,24000H DRIVE SHAFT CHANGE MAIN,,
RAB4028RI,RAB4028RI,4028,RI,D10T2,RAB,4028 - TRACK FRAME,RI - RIGHT,RAB,DZTR021-UCRG-TCFS,RH,21000H TRACK FRAME CHANGE RH,UCRG-TCFS,RABUCRG-TCFSRH
RAB4028LT,RAB4028LT,4028,LT,D10T2,RAB,4028 - TRACK FRAME,LT - LEFT,RAB,DZTR042-UCRG-TCFS,LH,16000H TRACK FRAME CHANGE LH,UCRG-TCFS,RABUCRG-TCFSLH
RAB4050RI,RAB4050RI,4050,RI,D10T2,RAB,4050 - FINAL DRIVE,RI - RIGHT,RAB,DZTR077-DRIV-FIDV,RH,16000H FINAL DRIVE CHANGE RH,DRIV-FIDV,RABDRIV-FIDVRH
RAB4050LT,RAB4050LT,4050,LT,D10T2,RAB,4050 - FINAL DRIVE,LT - LEFT,RAB,DZTR077-DRIV-FIDV,LH,16000H FINAL DRIVE CHANGE LH,DRIV-FIDV,RABDRIV-FIDVLH
RAB4100LT,RAB4100LT,4100,LT,D10T2,RAB,4100 - STEERING CLUTCH & BRAKE,LT - LEFT,RAB,,,15000H STEER & BRAKE CLUTCH CHANGE LH,,
RAB4100RI,RAB4100RI,4100,RI,D10T2,RAB,4100 - STEERING CLUTCH & BRAKE,RI - RIGHT,RAB,,,15000H STEER & BRAKE CLUTCH CHANGE RH,,
RAB4151LT,RAB4151LT,4151,LT,D10T2,RAB,4151 - TRACK ROLLER FRAME,LT - LEFT,RAB,DZTR004-UCRG-TCFS,,16000H TRACK FRAME CHANGE LH,UCRG-TCFS,RABUCRG-TCFS
RAB4151RI,RAB4151RI,4151,RI,D10T2,RAB,4151 - TRACK ROLLER FRAME,RI - RIGHT,RAB,DZTR004-UCRG-TCFS,,16000H TRACK FRAME CHANGE RH,UCRG-TCFS,RABUCRG-TCFS
RAB417000,RAB417000,4170,00,D10T2,RAB,4170 - TRACK ASSEMBLY,00 - (NONE),RAB,,,3000H TRACK CHANGE LH,,
RAB4170LT,RAB4170LT,4170,LT,D10T2,RAB,4170 - TRACK ASSEMBLY,LT - LEFT,RAB,DZTR041-UCRG-TCFS,,16000H TRACK FRAME ASSEMBLY LH,UCRG-TCFS,RABUCRG-TCFS
RAB4170RI,RAB4170RI,4170,RI,D10T2,RAB,4170 - TRACK ASSEMBLY,RI - RIGHT,RAB,,,16000H TRACK FRAME ASSEMBLY RH,,
RAB5070LT,RAB5070LT,5070,LT,D10T2,RAB,5070 - PISTON PUMP,LT - LEFT,RAB,,,IMPLEMENT PUMP CHANGE,,
RAB5104LT,RAB5104LT,5104,LT,D10T2,RAB,5104 - TILT CYLINDER,LT - LEFT,RAB,,,8000H BLADE TILT CYLINDER CHANGE LH,,
RAB5104RI,RAB5104RI,5104,RI,D10T2,RAB,5104 - TILT CYLINDER,RI - RIGHT,RAB,,,8000H BLADE TILT CYLINDER CHANGE RH,,
RAB5113LT,RAB5113LT,5113,LT,D10T2,RAB,5113 - BLADE LIFT CYLINDER,LT - LEFT,RAB,,,8000H BLADE LIFT CYLINDER CHANGE LH,,
RAB5113RI,RAB5113RI,5113,RI,D10T2,RAB,5113 - BLADE LIFT CYLINDER,RI - RIGHT,RAB,,,8000H BLADE LIFT CYLINDER CHANGE RH,,
RAB5352LT,RAB5352LT,5352,LT,D10T2,RAB,5352 - RIPPER LIFT CYLINDER,LT - LEFT,RAB,,,8000H RIPPER LIFT CYLINDER CHANGE LH,,
RAB5352RI,RAB5352RI,5352,RI,D10T2,RAB,5352 - RIPPER LIFT CYLINDER,RI - RIGHT,RAB,,,8000H RIPPER LIFT CYLINDER CHANGE RH,,
RAB5356LT,RAB5356LT,5356,LT,D10T2,RAB,5356 - RIPPER TILT CYLINDER,LT - LEFT,RAB,,,8000H RIPPER TILT CYLINDER CHANGE LH,,
RAB5356RI,RAB5356RI,5356,RI,D10T2,RAB,5356 - RIPPER TILT CYLINDER,RI - RIGHT,RAB,,,8000H RIPPER TILT CYLINDER CHANGE RH,,
RAB606000,RAB606000,6060,00,D10T2,RAB,6060 - Blade,00 - (NONE),RAB,DZWH002-BLAD,,15000H BLADE CHANGE,BLAD,RABBLAD
RAB720600,RAB720600,7206,00,D10T2,RAB,7206 - EQUALIZER BAR,00 - (NONE),RAB,,,15000H EQUALISER BAR CHANGE,,
RAB,RAB,,,D10T2,RAB,,,RAB,DZTR004-UCRG-TCFS,,16000H TRACK FRAME CHANGE LH,UCRG-TCFS,RABUCRG-TCFS
RJG100000,RJG100000,1000,00,D10T,RJG,1000 - ENGINE,00 - (NONE),RJG,DZTR004-ENGI,,16000H ENGINE CHANGE,ENGI,RJGENGI
RJG135300,RJG135300,1353,00,D10T,RJG,1353 - RADIATOR,00 - (NONE),RJG,DZTR004-ENGI-COSY,,16000H RADIATOR CHANGE,ENGI-COSY,RJGENGI-COSY
RJG303000,RJG303000,3030,00,D10T,RJG,3030 - TRANSMISSION,00 - (NONE),RJG,DZTR004-DRIV-TMSN,,16000H TRANSMISSION CHANGE,DRIV-TMSN,RJGDRIV-TMSN
RJG310100,RJG310100,3101,00,D10T,RJG,3101 - TORQUE CONVERTER,00 - (NONE),RJG,DZTR004-DRIV-TQCV,,16000H TORQUE CONVERTER CHANGE,DRIV-TQCV,RJGDRIV-TQCV
RJG4028RI,RJG4028RI,4028,RI,D10T,RJG,4028 - TRACK FRAME,RI - RIGHT,RJG,DZTR017-UCRG-TCFS,RH,21000H TRACK FRAME CHANGE RH,UCRG-TCFS,RJGUCRG-TCFSRH
RJG4050RI,RJG4050RI,4050,RI,D10T,RJG,4050 - FINAL DRIVE,RI - RIGHT,RJG,DZTR004-DRIV-FIDV,RH,16000H FINAL DRIVE CHANGE RH,DRIV-FIDV,RJGDRIV-FIDVRH
RJG4050LT,RJG4050LT,4050,LT,D10T,RJG,4050 - FINAL DRIVE,LT - LEFT,RJG,DZTR004-DRIV-FIDV,LH,16000H FINAL DRIVE CHANGE LH,DRIV-FIDV,RJGDRIV-FIDVLH
RJG138600,RJG138600,1386,00,D10T,RJG,1386 - HYDRAULIC FAN MOTOR,00 - (NONE),RJG,,,16000H FAN MOTOR CHANGE,,
RJG138700,RJG138700,1387,00,D10T,RJG,1387 - HYDRAULIC FAN PUMP,00 - (NONE),RJG,,,16000H FAN PUMP CHANGE,,
RJG300600,RJG300600,3006,00,D10T,RJG,3006 - TRANSMISSION & DIFFERENTIAL UNIT,00 - (NONE),RJG,TKHL192-DRIV-TMSN,,16000H TRANSMISSION CHANGE,DRIV-TMSN,RJGDRIV-TMSN
RJG306600,RJG306600,3066,00,D10T,RJG,3066 - TRANSMISSION OIL PUMP,00 - (NONE),RJG,,,8000H TRANSMISSION PUMP CHANGE,,
RJG4100LT,RJG4100LT,4100,LT,D10T,RJG,4100 - STEERING CLUTCH & BRAKE,LT - LEFT,RJG,,,16000H STEER & BRAKE CLUTCH CHANGE LH,,
RJG4100RI,RJG4100RI,4100,RI,D10T,RJG,4100 - STEERING CLUTCH & BRAKE,RI - RIGHT,RJG,,,16000H STEER & BRAKE CLUTCH CHANGE RH,,
RJG4151LT,RJG4151LT,4151,LT,D10T,RJG,4151 - TRACK ROLLER FRAME,LT - LEFT,RJG,DZTR004-UCRG-TCFS,,16000H TRACK FRAME CHANGE LH,UCRG-TCFS,RJGUCRG-TCFS
RJG4151RI,RJG4151RI,4151,RI,D10T,RJG,4151 - TRACK ROLLER FRAME,RI - RIGHT,RJG,DZTR004-UCRG-TCFS,,16000H TRACK FRAME CHANGE RH,UCRG-TCFS,RJGUCRG-TCFS
RJG4170LT,RJG4170LT,4170,LT,D10T,RJG,4170 - TRACK ASSEMBLY,LT - LEFT,RJG,,,3000H TRACK CHANGE LH,,
RJG4170RI,RJG4170RI,4170,RI,D10T,RJG,4170 - TRACK ASSEMBLY,RI - RIGHT,RJG,,,3000H TRACK CHANGE RH,,
RJG508400,RJG508400,5084,00,D10T,RJG,5084 - IMPLEMENT PUMP,00 - (NONE),RJG,,,12000H IMPLEMENT PUMP CHANGE,,
RJG5113LT,RJG5113LT,5113,LT,D10T,RJG,5113 - BLADE LIFT CYLINDER,LT - LEFT,RJG,,,12000H BLADE LIFT CYLINDER CHANGE LH,,
RJG5113RI,RJG5113RI,5113,RI,D10T,RJG,5113 - BLADE LIFT CYLINDER,RI - RIGHT,RJG,,,12000H BLADE LIFT CYLINDER CHANGE RH,,
RJG5352LT,RJG5352LT,5352,LT,D10T,RJG,5352 - RIPPER LIFT CYLINDER,LT - LEFT,RJG,,,12000H RIPPER LIFT CYLINDER CHANGE LH,,
RJG5352RI,RJG5352RI,5352,RI,D10T,RJG,5352 - RIPPER LIFT CYLINDER,RI - RIGHT,RJG,,,12000H RIPPER LIFT CYLINDER CHANGE RH,,
RJG5356LT,RJG5356LT,5356,LT,D10T,RJG,5356 - RIPPER TILT CYLINDER,LT - LEFT,RJG,,,12000H RIPPER TILT CYLINDER CHANGE LH,,
RJG5356RI,RJG5356RI,5356,RI,D10T,RJG,5356 - RIPPER TILT CYLINDER,RI - RIGHT,RJG,,,12000H RIPPER TILT CYLINDER CHANGE RH,,
RJG606000,RJG606000,6060,00,D10T,RJG,6060 - Blade,00 - (NONE),RJG,DZWH002-BLAD,,15000H BLADE CHANGE,BLAD,RJGBLAD
RJG720600,RJG720600,7206,00,D10T,RJG,7206 - EQUALIZER BAR,00 - (NONE),RJG,,,9000H EQUALISER BAR CHANGE,,
RJS100000,RJS100000,1000,00,D9T,RJS,1000 - ENGINE,00 - (NONE),RJS,DZTR113-ENGI,,12000H ENGINE CHANGE,ENGI,RJSENGI
RJS303000,RJS303000,3030,00,D9T,RJS,3030 - TRANSMISSION,00 - (NONE),RJS,DZTR113-DRIV-TMSN,,12000H TRANSMISSION CHANGE,DRIV-TMSN,RJSDRIV-TMSN
RJS310100,RJS310100,3101,00,D9T,RJS,3101 - TORQUE CONVERTER,00 - (NONE),RJS,DZTR113-DRIV-TQCV,,12000H TORQUE CONVERTER CHANGE,DRIV-TQCV,RJSDRIV-TQCV
RJS4050RI,RJS4050RI,4050,RI,D9T,RJS,4050 - FINAL DRIVE,RI - RIGHT,RJS,DZTR113-DRIV-FIDV,RH,12000H FINAL DRIVE CHANGE RH,DRIV-FIDV,RJSDRIV-FIDVRH
RJS4050LT,RJS4050LT,4050,LT,D9T,RJS,4050 - FINAL DRIVE,LT - LEFT,RJS,DZTR113-DRIV-FIDV,LH,12000H FINAL DRIVE CHANGE LH,DRIV-FIDV,RJSDRIV-FIDVLH
RM6100000,RM6100000,1000,00,854K,RM6,1000 - ENGINE,00 - (NONE),RM6,DZWH004-ENGI,,15000H ENGINE CHANGE,ENGI,RM6ENGI
RM6135300,RM6135300,1353,00,854K,RM6,1353 - RADIATOR,00 - (NONE),RM6,DZWH004-ENGI-COSY,,15000H RADIATOR CHANGE HI AMB TEMP,ENGI-COSY,RM6ENGI-COSY
RM6303000,RM6303000,3030,00,854K,RM6,3030 - TRANSMISSION,00 - (NONE),RM6,DZWH004-DRIV-TMSN,,15000H TRANSMISSION CHANGE,DRIV-TMSN,RM6DRIV-TMSN
RM6310100,RM6310100,3101,00,854K,RM6,3101 - TORQUE CONVERTER,00 - (NONE),RM6,DZWH004-DRIV-TQCV,,15000H TORQUE CONVERTER CHANGE,DRIV-TQCV,RM6DRIV-TQCV
RM63258FR,RM63258FR,3258,FR,854K,RM6,3258 - DIFFERENTIAL,FR - FRONT,RM6,DZWH004-DRIV-DIFF,FR,15000H DIFFERENTIAL CHANGE FR,DRIV-DIFF,RM6DRIV-DIFFFR
RM63258RE,RM63258RE,3258,RE,854K,RM6,3258 - DIFFERENTIAL,RE - REAR,RM6,DZWH004-DRIV-DIFF,RR,15000H DIFFERENTIAL CHANGE RR,DRIV-DIFF,RM6DRIV-DIFFRR
RM61063LT,RM61063LT,1063,LT,854K,RM6,1063 - AFTERCOOLER,LT - LEFT,RM6,,,15000H AFTERCOOLER CHANGE LH,,
RM61063RI,RM61063RI,1063,RI,854K,RM6,1063 - AFTERCOOLER,RI - RIGHT,RM6,,,15000H AFTERCOOLER CHANGE RH,,
RM6125100,RM6125100,1251,00,854K,RM6,1251 - FUEL INJECTION PUMP,00 - (NONE),RM6,,,15000H FUEL COOLER CHANGE,,
RM6135900,RM6135900,1359,00,854K,RM6,1359 - FAN DRIVE,00 - (NONE),RM6,,,30000H ENGINE FAN CHANGE,,
RM6136500,RM6136500,1365,00,854K,RM6,1365 - BRAKE/AXLE OIL COOLER,00 - (NONE),RM6,,,15000H AXLE OIL COOL PMP & MOTR CHANGE,,
RM6137400,RM6137400,1374,00,854K,RM6,1374 - HYDRAULIC OIL COOLER,00 - (NONE),RM6,,,15000H HYDRAULIC OIL COOLER CHANGE,,
RM6138600,RM6138600,1386,00,854K,RM6,1386 - HYDRAULIC FAN MOTOR,00 - (NONE),RM6,,,12000H FAN MOTOR CHANGE,,
RM6138700,RM6138700,1387,00,854K,RM6,1387 - HYDRAULIC FAN PUMP,00 - (NONE),RM6,,,12000H FAN PUMP CHANGE,,
RM6306600,RM6306600,3066,00,854K,RM6,3066 - TRANSMISSION OIL PUMP,00 - (NONE),RM6,,,15000H TRANSMISSION PUMP CHANGE,,
RM64001LF,RM64001LF,4001,LF,854K,RM6,4001 - FINAL DRIVE & BRAKE WHEEL,LF - LEFT FRONT,RM6,DZWH004-DRIV-FIDV,,15000H WHEEL END CHANGE LHF,DRIV-FIDV,RM6DRIV-FIDV
RM64001LR,RM64001LR,4001,LR,854K,RM6,4001 - FINAL DRIVE & BRAKE WHEEL,LR - LEFT REAR,RM6,LOFE061-DRIV,,15000H WHEEL END CHANGE LHR,DRIV,RM6DRIV
RM64001RF,RM64001RF,4001,RF,854K,RM6,4001 - FINAL DRIVE & BRAKE WHEEL,RF - RIGHT FRONT,RM6,DZWH004-DRIV-FIDV,,15000H WHEEL END CHANGE RHF,DRIV-FIDV,RM6DRIV-FIDV
RM64001RR,RM64001RR,4001,RR,854K,RM6,4001 - FINAL DRIVE & BRAKE WHEEL,RR - RIGHT REAR,RM6,LOFE061-DRIV,,15000H WHEEL END CHANGE RHR,DRIV,RM6DRIV
RM6426800,RM6426800,4268,00,854K,RM6,4268 - BRAKE PUMP,00 - (NONE),RM6,,,15000H BRAKE PUMP CHANGE,,
RM64303LT,RM64303LT,4303,LT,854K,RM6,4303 - STEERING CYLINDER,LT - LEFT,RM6,,,14000H STEERING CYLINDER CHANGE LH,,
RM64303RI,RM64303RI,4303,RI,854K,RM6,4303 - STEERING CYLINDER,RI - RIGHT,RM6,,,14000H STEERING CYLINDER CHANGE RH,,
RM6430600,RM6430600,4306,00,854K,RM6,4306 - STEERING PUMP,00 - (NONE),RM6,,,14000H PILOT STEERING PUMP CHANGE,,
RM6434600,RM6434600,4346,00,854K,RM6,4346 - STEERING OIL COOLER,00 - (NONE),RM6,,,14000H STEERING OIL COOLER CHANGE,,
RM65070RI,RM65070RI,5070,RI,854K,RM6,5070 - PISTON PUMP,RI - RIGHT,RM6,,,14000H SECONDARY STEERING PUMP CHANGE,,
RM6508400,RM6508400,5084,00,854K,RM6,5084 - IMPLEMENT PUMP,00 - (NONE),RM6,,,12000H IMPLEMENT PUMP CHANGE,,
RM65104LT,RM65104LT,5104,LT,854K,RM6,5104 - TILT CYLINDER,LT - LEFT,RM6,,,8000H BLADE TILT CYLINDER CHANGE LH,,
RM65104RI,RM65104RI,5104,RI,854K,RM6,5104 - TILT CYLINDER,RI - RIGHT,RM6,,,8000H BLADE TILT CYLINDER CHANGE RH,,
RM65113LT,RM65113LT,5113,LT,854K,RM6,5113 - BLADE LIFT CYLINDER,LT - LEFT,RM6,,,8000H BLADE LIFT CYLINDER CHANGE LH,,
RM65113RI,RM65113RI,5113,RI,854K,RM6,5113 - BLADE LIFT CYLINDER,RI - RIGHT,RM6,,,8000H BLADE LIFT CYLINDER CHANGE RH,,
SND100000,SND100000,1000,00,793F XQ,SND,1000 - ENGINE,00 - (NONE),SND,TKHL158-ENGI,,22000H ENGINE CHANGE,ENGI,SNDENGI
SND135300,SND135300,1353,00,793F XQ,SND,1353 - RADIATOR,00 - (NONE),SND,TKHL158-ENGI-COSY,,22000H RADIATOR CHANGE,ENGI-COSY,SNDENGI-COSY
SND303000,SND303000,3030,00,793F XQ,SND,3030 - TRANSMISSION,00 - (NONE),SND,TKHL158-DRIV-TMSN,,18000H TRANSMISSION CHANGE,DRIV-TMSN,SNDDRIV-TMSN
SND310100,SND310100,3101,00,793F XQ,SND,3101 - TORQUE CONVERTER,00 - (NONE),SND,TKHL158-DRIV-TQCV,,22000H TORQUE CONVERTER CHANGE,DRIV-TQCV,SNDDRIV-TQCV
SND325800,SND325800,3258,00,793F XQ,SND,3258 - DIFFERENTIAL,00 - (NONE),SND,TKHL158-DRIV-DIFF,,24000H DIFFERENTIAL CHANGE,DRIV-DIFF,SNDDRIV-DIFF
SND4008LF,SND4008LF,4008,LF,793F XQ,SND,"4008 - FINAL DRIVE, BRAKE & WHEEL",LF - LEFT FRONT,SND,TKHL158-DRIV-WHGP,LHF,24000H WHEEL GROUP CHANGE LHF,DRIV-WHGP,SNDDRIV-WHGPLHF
SND4008RF,SND4008RF,4008,RF,793F XQ,SND,"4008 - FINAL DRIVE, BRAKE & WHEEL",RF - RIGHT FRONT,SND,TKHL158-DRIV-WHGP,RHF,24000H WHEEL GROUP CHANGE RHF,DRIV-WHGP,SNDDRIV-WHGPRHF
SND4008RI,SND4008RI,4008,RI,793F XQ,SND,"4008 - FINAL DRIVE, BRAKE & WHEEL",RI - RIGHT,SND,TKHL160-DRIV-FIDV,RHR,24000H WHEEL END CHANGE RHR,DRIV-FIDV,SNDDRIV-FIDVRHR
SND4008LR,SND4008LR,4008,LR,793F XQ,SND,"4008 - FINAL DRIVE, BRAKE & WHEEL",LR - LEFT REAR,SND,TKHL159-DRIV-FIDV,LHR,24000H WHEEL END CHANGE LHR,DRIV-FIDV,SNDDRIV-FIDVLHR
SND4050LR,SND4050LR,4050,LR,793F XQ,SND,4050 - FINAL DRIVE,LR - LEFT REAR,SND,TKHL158-DRIV-FIDV,LHR,24000H WHEEL END CHANGE LHR,DRIV-FIDV,SNDDRIV-FIDVLHR
SND4050RR,SND4050RR,4050,RR,793F XQ,SND,4050 - FINAL DRIVE,RR - RIGHT REAR,SND,TKHL158-DRIV-FIDV,RHR,24000H WHEEL END CHANGE RHR,DRIV-FIDV,SNDDRIV-FIDVRHR
SND7213LR,SND7213LR,7213,LR,793F XQ,SND,7213 - REAR SUSPENSION CYLINDER,LR - LEFT REAR,SND,TKHL158-SURE-SPSN,LHR,25000H SUSPENSION CYLINDER CHANGE LHR,SURE-SPSN,SNDSURE-SPSNLHR
SND7213RR,SND7213RR,7213,RR,793F XQ,SND,7213 - REAR SUSPENSION CYLINDER,RR - RIGHT REAR,SND,TKHL158-SURE-SPSN,RHR,25000H SUSPENSION CYLINDER CHANGE RHR,SURE-SPSN,SNDSURE-SPSNRHR
SND7213RI,SND7213RI,7213,RI,793F XQ,SND,7213 - REAR SUSPENSION CYLINDER,RI - RIGHT,SND,TKHL161-SURE-SPSN,RHR,25000H SUSPENSION CYLINDER CHANGE RHR,SURE-SPSN,SNDSURE-SPSNRHR
SND,SND,,,793F XQ,SND,,,SND,TKHL171-ENGI,,11000H ENGINE MIDLIFE,ENGI,SNDENGI
SND135900,SND135900,1359,00,793F XQ,SND,1359 - FAN DRIVE,00 - (NONE),SND,,,36000H ENGINE FAN CHANGE,,
SND136500,SND136500,1365,00,793F XQ,SND,1365 - BRAKE/AXLE OIL COOLER,00 - (NONE),SND,,,15000H REAR AXLE OIL COOLER CHANGE,,
SND137500,SND137500,1375,00,793F XQ,SND,1375 - TORQUE CONVERTER/TRANSMISSION OIL COOLER,00 - (NONE),SND,,,15000H TC & TRANS OIL COOLER CHANGE,,
SND1386RE,SND1386RE,1386,RE,793F XQ,SND,1386 - HYDRAULIC FAN MOTOR,RE - REAR,SND,,,15000H REAR AXLE FAN MOTOR CHANGE,,
SND310800,SND310800,3108,00,793F XQ,SND,3108 - PUMP DRIVE GRP,00 - (NONE),SND,,,18000H DRIVE SHAFT PUMP DRIVE CHANGE,,
SND4006LF,SND4006LF,4006,LF,793F XQ,SND,4006 - WHEEL & BRAKE ASSEMBLY,LF - LEFT FRONT,SND,TKHL192-DRIV-WHGP,,24000H WHEEL GROUP CHANGE LHF,DRIV-WHGP,SNDDRIV-WHGP
SND4006RF,SND4006RF,4006,RF,793F XQ,SND,4006 - WHEEL & BRAKE ASSEMBLY,RF - RIGHT FRONT,SND,TKHL132-DRIV-WHGP,,24000H WHEEL GROUP CHANGE RHF,DRIV-WHGP,SNDDRIV-WHGP
SND4008RR,SND4008RR,4008,RR,793F XQ,SND,"4008 - FINAL DRIVE, BRAKE & WHEEL",RR - RIGHT REAR,SND,TKHL160-DRIV-FIDV,,24000H WHEEL END CHANGE RHR,DRIV-FIDV,SNDDRIV-FIDV
SND4261FR,SND4261FR,4261,FR,793F XQ,SND,4261 - BRAKE/SLACK ADJUSTER,FR - FRONT,SND,,,12000H BRAKE SLACK ADJUSTER CHANGE FR,,
SND4261RR,SND4261RR,4261,RR,793F XQ,SND,4261 - BRAKE/SLACK ADJUSTER,RR - RIGHT REAR,SND,,,12000H BRAKE SLACK ADJUSTER CHANGE RR,,
SND426P00,SND426P00,426P,00,793F XQ,SND,426P - BRAKE COOLING & RETRACTION PUMP,00 - (NONE),SND,,,16000H BRAKE COOLING PUMP CHANGE,,
SND4303LT,SND4303LT,4303,LT,793F XQ,SND,4303 - STEERING CYLINDER,LT - LEFT,SND,,,15000H STEERING CYLINDER CHANGE LH,,
SND4303RI,SND4303RI,4303,RI,793F XQ,SND,4303 - STEERING CYLINDER,RI - RIGHT,SND,,,15000H STEERING CYLINDER CHANGE RH,,
SND4305LT,SND4305LT,4305,LT,793F XQ,SND,4305 - STEERING LINKAGE,LT - LEFT,SND,,,15000H STEERING LINK CHANGE LH,,
SND4305RI,SND4305RI,4305,RI,793F XQ,SND,4305 - STEERING LINKAGE,RI - RIGHT,SND,,,15000H STEERING LINK CHANGE RH,,
SND434600,SND434600,4346,00,793F XQ,SND,4346 - STEERING OIL COOLER,00 - (NONE),SND,,,12000H STEERING OIL COOLER CHANGE,,
SND507000,SND507000,5070,00,793F XQ,SND,5070 - PISTON PUMP,00 - (NONE),SND,,,12000H STEERING/HYDRAULIC FAN PMP CHNG,,
SND508300,SND508300,5083,00,793F XQ,SND,5083 - HYDRAULIC HOIST PUMP,00 - (NONE),SND,,,16000H HOIST/BRAKE HYDRAULIC PUMP CHANGE,,
SND5102LT,SND5102LT,5102,LT,793F XQ,SND,5102 - LIFT/HOIST CYLINDER,LT - LEFT,SND,,,16000H HOIST CYLINDER CHANGE LH,,
SND5102RI,SND5102RI,5102,RI,793F XQ,SND,5102 - LIFT/HOIST CYLINDER,RI - RIGHT,SND,,,16000H HOIST CYLINDER CHANGE RH,,
SND7201LF,SND7201LF,7201,LF,793F XQ,SND,7201 - SUSPENSION CYLINDER,LF - LEFT FRONT,SND,TKHL162-SURE-SPSN,,24000H SUSPENSION CYLINDER CHANGE LHF,SURE-SPSN,SNDSURE-SPSN
SND7201RF,SND7201RF,7201,RF,793F XQ,SND,7201 - SUSPENSION CYLINDER,RF - RIGHT FRONT,SND,TKHL134-SURE-SPSN,,24000H SUSPENSION CYLINDER CHANGE RHF,SURE-SPSN,SNDSURE-SPSN
SND7230LL,SND7230LL,7230,LL,793F XQ,SND,7230 - SUSPENSION LINK,LLH - LEFT LOWER,SND,,,24000H SUSPENSION LINK REAR CHNG LL,,
SND7230LU,SND7230LU,7230,LU,793F XQ,SND,7230 - SUSPENSION LINK,LUZ - LEFT UPPER,SND,,,24000H SUSPENSION LINK REAR CHNG LU,,
SND7230RL,SND7230RL,7230,RL,793F XQ,SND,7230 - SUSPENSION LINK,RLH - RIGHT LOWER,SND,,,24000H SUSPENSION LINK REAR CHNG RL,,
SND7230RU,SND7230RU,7230,RU,793F XQ,SND,7230 - SUSPENSION LINK,RUZ - RIGHT UPPER,SND,,,24000H SUSPENSION LINK REAR CHNG RU,,
SND325300,SND325300,3253,00,793F XQ,SND,3253 - DRIVESHAFT,00 - (NONE),SND,,,18000H DRIVE SHAFT CHANGE MAIN,,
