CONCAT(XREF),MODEL,AMT COMPONENT CODE,MACA/Downer,CONCAT AMT
16M3,16M3,,16101.0.CCNP.0 Blade - Reserve Strategy (Change Out ONLY),16M316101.0.CCNP.0 Blade - Reserve Strategy (Change Out ONLY)
16M3,16M3,,16128.0.CNCNP.0 Bucket / Body / Blade (Refurb / Re-line ONLY),16M316128.0.CNCNP.0 Bucket / Body / Blade (Refurb / Re-line ONLY)
16M3,16M3,,17502.0.CNCNP.0 Articulation,16M317502.0.CNCNP.0 Articulation
16M3,16M3,,17508.0.CCNP.0 Circle A Frame,16M317508.0.CCNP.0 Circle A Frame
16M36154 - CIRCLE ASSEMBLY-00 - (NONE),16M3,6154 - CIRCLE ASSEMBLY-00 - (NONE),17509.0.CCNP.0 Circle Assembly,16M317509.0.CCNP.0 Circle Assembly
16M31353 - RADIATOR-00 - (NONE),16M3,1353 - RADIATOR-00 - (NONE),11105.0.CC.0 Radiator,16M311105.0.CC.0 Radiator
16M34050 - FINAL DRIVE-LT - LEFT,16M3,4050 - FINAL DRIVE-LT - LEFT,13010.LH.CC.0 Final Drive,16M313010.LH.CC.0 Final Drive
16M34050 - FINAL DRIVE-RI - RIGHT,16M3,4050 - FINAL DRIVE-RI - RIGHT,13010.RH.CC.0 Final Drive,16M313010.RH.CC.0 Final Drive
16M34303 - STEERING CYLINDER-LT - LEFT,16M3,4303 - STEERING CYLINDER-LT - LEFT,15026.LH.CNC.0 Steering Cylinder,16M315026.LH.CNC.0 Steering Cylinder
16M34303 - STEERING CYLINDER-RI - RIGHT,16M3,4303 - STEERING CYLINDER-RI - RIGHT,15026.RH.CNC.0 Steering Cylinder,16M315026.RH.CNC.0 Steering Cylinder
16M35206 - CIRCLE DRIVE MOTOR-00 - (NONE),16M3,5206 - CIRCLE DRIVE MOTOR-00 - (NONE),15201.0.CNC.0 Circle Drive Motor,16M315201.0.CNC.0 Circle Drive Motor
16M34306 - STEERING PUMP-00 - (NONE),16M3,4306 - STEERING PUMP-00 - (NONE),15332.0.CNC.0 Steering Pump,16M315332.0.CNC.0 Steering Pump
16M33066 - TRANSMISSION OIL PUMP-00 - (NONE),16M3,3066 - TRANSMISSION OIL PUMP-00 - (NONE),15339.0.CNC.0 Transmission Pump,16M315339.0.CNC.0 Transmission Pump
16M34313 - STEERING AXLE-00 - (NONE),16M3,4313 - STEERING AXLE-00 - (NONE),13001.FT.CC.0 Axle Assembly,16M313001.FT.CC.0 Axle Assembly
16M35265 - ARTICULATION CYLINDER-LT - LEFT,16M3,5265 - ARTICULATION CYLINDER-LT - LEFT,15000.LH.CNCNP.0 Articulation Cylinder,16M315000.LH.CNCNP.0 Articulation Cylinder
16M35265 - ARTICULATION CYLINDER-RI - RIGHT,16M3,5265 - ARTICULATION CYLINDER-RI - RIGHT,15000.RH.CNCNP.0 Articulation Cylinder,16M315000.RH.CNCNP.0 Articulation Cylinder
16M35211 - WHEEL LEAN CYLINDER-00 - (NONE),16M3,5211 - WHEEL LEAN CYLINDER-00 - (NONE),15033.0.CNCNP.0 Wheel Lean Cylinder,16M315033.0.CNCNP.0 Wheel Lean Cylinder
16M389CS - ENGINE FAN MOTOR-00 - (NONE),16M3,89CS - ENGINE FAN MOTOR-00 - (NONE),15204.0.CNC.0 Engine Cooling Fan Motor,16M315204.0.CNC.0 Engine Cooling Fan Motor
6060 FS1000 - ENGINE-LT - LEFT,6060 FS,1000 - ENGINE-LT - LEFT,11204.LH.CC.0 Engine,6060 FS11204.LH.CC.0 Engine
6060 FS1000 - ENGINE-RI - RIGHT,6060 FS,1000 - ENGINE-RI - RIGHT,11204.RH.CC.0 Engine,6060 FS11204.RH.CC.0 Engine
6060 FS1353 - RADIATOR-LT - LEFT,6060 FS,1353 - RADIATOR-LT - LEFT,11105.LH.CC.0 Radiator,6060 FS11105.LH.CC.0 Radiator
6060 FS1353 - RADIATOR-RI - RIGHT,6060 FS,1353 - RADIATOR-RI - RIGHT,11105.RH.CC.0 Radiator,6060 FS11105.RH.CC.0 Radiator
6060 FS1374 - HYDRAULIC OIL COOLER-FLO - FRONT LOWER,6060 FS,1374 - HYDRAULIC OIL COOLER-FLO - FRONT LOWER,15103.BF.CC.0 Hydraulic Oil Cooler,6060 FS15103.BF.CC.0 Hydraulic Oil Cooler
6060 FS1374 - HYDRAULIC OIL COOLER-FUP - FRONT UPPER,6060 FS,1374 - HYDRAULIC OIL COOLER-FUP - FRONT UPPER,15103.TF.CC.0 Hydraulic Oil Cooler,6060 FS15103.TF.CC.0 Hydraulic Oil Cooler
6060 FS1374 - HYDRAULIC OIL COOLER-REU - REAR UPPER,6060 FS,1374 - HYDRAULIC OIL COOLER-REU - REAR UPPER,15103.TRE.CCNP.0 Hydraulic Oil Cooler,6060 FS15103.TRE.CCNP.0 Hydraulic Oil Cooler
6060 FS1374 - HYDRAULIC OIL COOLER-REU - REAR UPPER,6060 FS,1374 - HYDRAULIC OIL COOLER-REU - REAR UPPER,15103.TRE.CC.0 Hydraulic Oil Cooler,6060 FS15103.TRE.CC.0 Hydraulic Oil Cooler
6060 FS1374 - HYDRAULIC OIL COOLER-RLO - REAR LOWER,6060 FS,1374 - HYDRAULIC OIL COOLER-RLO - REAR LOWER,15103.BRE.CC.0 Hydraulic Oil Cooler,6060 FS15103.BRE.CC.0 Hydraulic Oil Cooler
6060 FS1386 - HYDRAULIC FAN MOTOR-FLO - FRONT LOWER,6060 FS,1386 - HYDRAULIC FAN MOTOR-FLO - FRONT LOWER,15205.BF.CC.0 Hydraulic Cooling Fan Motor,6060 FS15205.BF.CC.0 Hydraulic Cooling Fan Motor
6060 FS1386 - HYDRAULIC FAN MOTOR-FUP - FRONT UPPER,6060 FS,1386 - HYDRAULIC FAN MOTOR-FUP - FRONT UPPER,15205.TF.CC.0 Hydraulic Cooling Fan Motor,6060 FS15205.TF.CC.0 Hydraulic Cooling Fan Motor
6060 FS1386 - HYDRAULIC FAN MOTOR-REU - REAR UPPER,6060 FS,1386 - HYDRAULIC FAN MOTOR-REU - REAR UPPER,15205.TRE.CC.0 Hydraulic Cooling Fan Motor,6060 FS15205.TRE.CC.0 Hydraulic Cooling Fan Motor
6060 FS1386 - HYDRAULIC FAN MOTOR-RLO - REAR LOWER,6060 FS,1386 - HYDRAULIC FAN MOTOR-RLO - REAR LOWER,15205.BRE.CC.0 Hydraulic Cooling Fan Motor,6060 FS15205.BRE.CC.0 Hydraulic Cooling Fan Motor
6060 FS1387 - HYDRAULIC FAN PUMP-P01 - P01,6060 FS,1387 - HYDRAULIC FAN PUMP-P01 - P01,15313.P01.CC.0 Hydraulic Cooling Fan Pump,6060 FS15313.P01.CC.0 Hydraulic Cooling Fan Pump
6060 FS1387 - HYDRAULIC FAN PUMP-P02 - P02,6060 FS,1387 - HYDRAULIC FAN PUMP-P02 - P02,15313.P02.CC.0 Hydraulic Cooling Fan Pump,6060 FS15313.P02.CC.0 Hydraulic Cooling Fan Pump
6060 FS1387 - HYDRAULIC FAN PUMP-P03 - P03,6060 FS,1387 - HYDRAULIC FAN PUMP-P03 - P03,15313.P03.CC.0 Hydraulic Cooling Fan Pump,6060 FS15313.P03.CC.0 Hydraulic Cooling Fan Pump
6060 FS1387 - HYDRAULIC FAN PUMP-P04 - P04,6060 FS,1387 - HYDRAULIC FAN PUMP-P04 - P04,15313.P04.CC.0 Hydraulic Cooling Fan Pump,6060 FS15313.P04.CC.0 Hydraulic Cooling Fan Pump
6060 FS3108 - PUMP DRIVE GRP-LT - LEFT,6060 FS,3108 - PUMP DRIVE GRP-LT - LEFT,13107.LH.CC.0 Pump Drive,6060 FS13107.LH.CC.0 Pump Drive
6060 FS3108 - PUMP DRIVE GRP-RI - RIGHT,6060 FS,3108 - PUMP DRIVE GRP-RI - RIGHT,13107.RH.CC.0 Pump Drive,6060 FS13107.RH.CC.0 Pump Drive
6060 FS325A - DRIVE COUPLING-LT - LEFT,6060 FS,325A - DRIVE COUPLING-LT - LEFT,13102.LH.CC.0 Drive Coupling,6060 FS13102.LH.CC.0 Drive Coupling
6060 FS325A - DRIVE COUPLING-RI - RIGHT,6060 FS,325A - DRIVE COUPLING-RI - RIGHT,13102.RH.CC.0 Drive Coupling,6060 FS13102.RH.CC.0 Drive Coupling
6060 FS4050 - FINAL DRIVE-LT - LEFT,6060 FS,4050 - FINAL DRIVE-LT - LEFT,13010.LH.CC.0 Final Drive,6060 FS13010.LH.CC.0 Final Drive
6060 FS4050 - FINAL DRIVE-RI - RIGHT,6060 FS,4050 - FINAL DRIVE-RI - RIGHT,13010.RH.CC.0 Final Drive,6060 FS13010.RH.CC.0 Final Drive
6060 FS4151 - TRACK ROLLER FRAME-LT - LEFT,6060 FS,4151 - TRACK ROLLER FRAME-LT - LEFT,18006.LH.CNC.0 Track Frame,6060 FS18006.LH.CNC.0 Track Frame
6060 FS4151 - TRACK ROLLER FRAME-RI - RIGHT,6060 FS,4151 - TRACK ROLLER FRAME-RI - RIGHT,18006.RH.CNC.0 Track Frame,6060 FS18006.RH.CNC.0 Track Frame
6060 FS4154 - CARRIER ROLLER-LF - LEFT FRONT,6060 FS,4154 - CARRIER ROLLER-LF - LEFT FRONT,18100.FL.CC.0 Carrier Roller,6060 FS18100.FL.CC.0 Carrier Roller
6060 FS4154 - CARRIER ROLLER-LR - LEFT REAR,6060 FS,4154 - CARRIER ROLLER-LR - LEFT REAR,18100.RL.CC.0 Carrier Roller,6060 FS18100.RL.CC.0 Carrier Roller
6060 FS4154 - CARRIER ROLLER-RF - RIGHT FRONT,6060 FS,4154 - CARRIER ROLLER-RF - RIGHT FRONT,18100.FR.CC.0 Carrier Roller,6060 FS18100.FR.CC.0 Carrier Roller
6060 FS4154 - CARRIER ROLLER-RR - RIGHT REAR,6060 FS,4154 - CARRIER ROLLER-RR - RIGHT REAR,18100.RR.CC.0 Carrier Roller,6060 FS18100.RR.CC.0 Carrier Roller
6060 FS4157 - TRACK ADJUSTER-LT - LEFT,6060 FS,4157 - TRACK ADJUSTER-LT - LEFT,18007.LH.CC.0 Track Tensioner,6060 FS18007.LH.CC.0 Track Tensioner
6060 FS4157 - TRACK ADJUSTER-RI - RIGHT,6060 FS,4157 - TRACK ADJUSTER-RI - RIGHT,18007.RH.CC.0 Track Tensioner,6060 FS18007.RH.CC.0 Track Tensioner
6060 FS4159 - IDLER/IDLER WHEEL-LT - LEFT,6060 FS,4159 - IDLER/IDLER WHEEL-LT - LEFT,18102.LH.CC.0 Track Idler,6060 FS18102.LH.CC.0 Track Idler
6060 FS4159 - IDLER/IDLER WHEEL-RI - RIGHT,6060 FS,4159 - IDLER/IDLER WHEEL-RI - RIGHT,18102.RH.CC.0 Track Idler,6060 FS18102.RH.CC.0 Track Idler
6060 FS4164 - SPROCKET ASSEMBLY-LT - LEFT,6060 FS,4164 - SPROCKET ASSEMBLY-LT - LEFT,18202.LH.CC.0 Sprocket,6060 FS18202.LH.CC.0 Sprocket
6060 FS4164 - SPROCKET ASSEMBLY-RI - RIGHT,6060 FS,4164 - SPROCKET ASSEMBLY-RI - RIGHT,18202.RH.CC.0 Sprocket,6060 FS18202.RH.CC.0 Sprocket
6060 FS4170 - TRACK ASSEMBLY-LT - LEFT,6060 FS,4170 - TRACK ASSEMBLY-LT - LEFT,18204.LH.CC.0 Track Assembly,6060 FS18204.LH.CC.0 Track Assembly
6060 FS4170 - TRACK ASSEMBLY-RI - RIGHT,6060 FS,4170 - TRACK ASSEMBLY-RI - RIGHT,18204.RH.CC.0 Track Assembly,6060 FS18204.RH.CC.0 Track Assembly
6060 FS4180 - TRACK ROLLER-L01 - LEFT NO. 01,6060 FS,4180 - TRACK ROLLER-L01 - LEFT NO. 01,18101.L01.CC.0 Load Roller,6060 FS18101.L01.CC.0 Load Roller
6060 FS4180 - TRACK ROLLER-L02 - LEFT NO. 02,6060 FS,4180 - TRACK ROLLER-L02 - LEFT NO. 02,18101.L02.CC.0 Load Roller,6060 FS18101.L02.CC.0 Load Roller
6060 FS4180 - TRACK ROLLER-L03 - LEFT NO. 03,6060 FS,4180 - TRACK ROLLER-L03 - LEFT NO. 03,18101.L03.CC.0 Load Roller,6060 FS18101.L03.CC.0 Load Roller
6060 FS4180 - TRACK ROLLER-L04 - LEFT NO. 04,6060 FS,4180 - TRACK ROLLER-L04 - LEFT NO. 04,18101.L04.CC.0 Load Roller,6060 FS18101.L04.CC.0 Load Roller
6060 FS4180 - TRACK ROLLER-L05 - LEFT NO. 05,6060 FS,4180 - TRACK ROLLER-L05 - LEFT NO. 05,18101.L05.CC.0 Load Roller,6060 FS18101.L05.CC.0 Load Roller
6060 FS4180 - TRACK ROLLER-L06 - LEFT NO. 06,6060 FS,4180 - TRACK ROLLER-L06 - LEFT NO. 06,18101.L06.CC.0 Load Roller,6060 FS18101.L06.CC.0 Load Roller
6060 FS4180 - TRACK ROLLER-L07 - LEFT NO. 07,6060 FS,4180 - TRACK ROLLER-L07 - LEFT NO. 07,18101.L07.CC.0 Load Roller,6060 FS18101.L07.CC.0 Load Roller
6060 FS4180 - TRACK ROLLER-R01 - RIGHT NO.01,6060 FS,4180 - TRACK ROLLER-R01 - RIGHT NO.01,18101.R01.CC.0 Load Roller,6060 FS18101.R01.CC.0 Load Roller
6060 FS4180 - TRACK ROLLER-R02 - RIGHT NO.02,6060 FS,4180 - TRACK ROLLER-R02 - RIGHT NO.02,18101.R02.CC.0 Load Roller,6060 FS18101.R02.CC.0 Load Roller
6060 FS4180 - TRACK ROLLER-R03 - RIGHT NO.03,6060 FS,4180 - TRACK ROLLER-R03 - RIGHT NO.03,18101.R03.CC.0 Load Roller,6060 FS18101.R03.CC.0 Load Roller
6060 FS4180 - TRACK ROLLER-R04 - RIGHT NO.04,6060 FS,4180 - TRACK ROLLER-R04 - RIGHT NO.04,18101.R04.CC.0 Load Roller,6060 FS18101.R04.CC.0 Load Roller
6060 FS4180 - TRACK ROLLER-R05 - RIGHT NO.05,6060 FS,4180 - TRACK ROLLER-R05 - RIGHT NO.05,18101.R05.CC.0 Load Roller,6060 FS18101.R05.CC.0 Load Roller
6060 FS4180 - TRACK ROLLER-R06 - RIGHT NO.06,6060 FS,4180 - TRACK ROLLER-R06 - RIGHT NO.06,18101.R06.CC.0 Load Roller,6060 FS18101.R06.CC.0 Load Roller
6060 FS4180 - TRACK ROLLER-R07 - RIGHT NO.07,6060 FS,4180 - TRACK ROLLER-R07 - RIGHT NO.07,18101.R07.CC.0 Load Roller,6060 FS18101.R07.CC.0 Load Roller
6060 FS4351 - HYD PROPEL/DRIVE MOTOR-LF - LEFT FRONT,6060 FS,4351 - HYD PROPEL/DRIVE MOTOR-LF - LEFT FRONT,15211.FL.CC.0 Travel Motor,6060 FS15211.FL.CC.0 Travel Motor
6060 FS4351 - HYD PROPEL/DRIVE MOTOR-LR - LEFT REAR,6060 FS,4351 - HYD PROPEL/DRIVE MOTOR-LR - LEFT REAR,15211.RL.CC.0 Travel Motor,6060 FS15211.RL.CC.0 Travel Motor
6060 FS4351 - HYD PROPEL/DRIVE MOTOR-RF - RIGHT FRONT,6060 FS,4351 - HYD PROPEL/DRIVE MOTOR-RF - RIGHT FRONT,15211.FR.CC.0 Travel Motor,6060 FS15211.FR.CC.0 Travel Motor
6060 FS4351 - HYD PROPEL/DRIVE MOTOR-RR - RIGHT REAR,6060 FS,4351 - HYD PROPEL/DRIVE MOTOR-RR - RIGHT REAR,15211.RR.CC.0 Travel Motor,6060 FS15211.RR.CC.0 Travel Motor
6060 FS5060 - SWIVEL-00 - (NONE),6060 FS,5060 - SWIVEL-00 - (NONE),15405.0.CC.0 Rotary Swivel,6060 FS15405.0.CC.0 Rotary Swivel
6060 FS5077 - HYDRAULIC ACCUMULATOR-LT - LEFT,6060 FS,5077 - HYDRAULIC ACCUMULATOR-LT - LEFT,18005.LH.CC.0 Track Tensioner Accumulator,6060 FS18005.LH.CC.0 Track Tensioner Accumulator
6060 FS5077 - HYDRAULIC ACCUMULATOR-LT - LEFT,6060 FS,5077 - HYDRAULIC ACCUMULATOR-LT - LEFT,18005.LH.CNC.0 Track Tensioner Accumulator,6060 FS18005.LH.CNC.0 Track Tensioner Accumulator
6060 FS5077 - HYDRAULIC ACCUMULATOR-RI - RIGHT,6060 FS,5077 - HYDRAULIC ACCUMULATOR-RI - RIGHT,18005.RH.CC.0 Track Tensioner Accumulator,6060 FS18005.RH.CC.0 Track Tensioner Accumulator
6060 FS5077 - HYDRAULIC ACCUMULATOR-RI - RIGHT,6060 FS,5077 - HYDRAULIC ACCUMULATOR-RI - RIGHT,18005.RH.CNC.0 Track Tensioner Accumulator,6060 FS18005.RH.CNC.0 Track Tensioner Accumulator
6060 FS5084 - IMPLEMENT PUMP-P01 - P01,6060 FS,5084 - IMPLEMENT PUMP-P01 - P01,15316.P1&2.CC.0 Main Pump,6060 FS15316.P1&2.CC.0 Main Pump
6060 FS5084 - IMPLEMENT PUMP-P03 - P03,6060 FS,5084 - IMPLEMENT PUMP-P03 - P03,15316.P3&4.CC.0 Main Pump,6060 FS15316.P3&4.CC.0 Main Pump
6060 FS5084 - IMPLEMENT PUMP-P05 - P05,6060 FS,5084 - IMPLEMENT PUMP-P05 - P05,15316.P5&6.CC.0 Main Pump,6060 FS15316.P5&6.CC.0 Main Pump
6060 FS5084 - IMPLEMENT PUMP-P07 - P07,6060 FS,5084 - IMPLEMENT PUMP-P07 - P07,15316.P7&8.CC.0 Main Pump,6060 FS15316.P7&8.CC.0 Main Pump
6060 FS5085 - PILOT PUMP-P01 - P01,6060 FS,5085 - PILOT PUMP-P01 - P01,15328.P01.CC.0 Servo Pump,6060 FS15328.P01.CC.0 Servo Pump
6060 FS5085 - PILOT PUMP-P02 - P02,6060 FS,5085 - PILOT PUMP-P02 - P02,15328.P02.CC.0 Servo Pump,6060 FS15328.P02.CC.0 Servo Pump
6060 FS5085 - PILOT PUMP-P03 - P03,6060 FS,5085 - PILOT PUMP-P03 - P03,15328.P03.CC.0 Servo Pump,6060 FS15328.P03.CC.0 Servo Pump
6060 FS5085 - PILOT PUMP-P04 - P04,6060 FS,5085 - PILOT PUMP-P04 - P04,15328.P04.CC.0 Servo Pump,6060 FS15328.P04.CC.0 Servo Pump
6060 FS5456 - BOOM CYLINDER-LT - LEFT,6060 FS,5456 - BOOM CYLINDER-LT - LEFT,15005.LH.CC.0 Boom Cylinder,6060 FS15005.LH.CC.0 Boom Cylinder
6060 FS5456 - BOOM CYLINDER-RI - RIGHT,6060 FS,5456 - BOOM CYLINDER-RI - RIGHT,15005.RH.CC.0 Boom Cylinder,6060 FS15005.RH.CC.0 Boom Cylinder
6060 FS5457 - BUCKET CYLINDER-LT - LEFT,6060 FS,5457 - BUCKET CYLINDER-LT - LEFT,15010.LH.CC.0 Bucket Cylinder,6060 FS15010.LH.CC.0 Bucket Cylinder
6060 FS5457 - BUCKET CYLINDER-RI - RIGHT,6060 FS,5457 - BUCKET CYLINDER-RI - RIGHT,15010.RH.CC.0 Bucket Cylinder,6060 FS15010.RH.CC.0 Bucket Cylinder
6060 FS5458 - STICK CYLINDER-LT - LEFT,6060 FS,5458 - STICK CYLINDER-LT - LEFT,15027.LH.CC.0 Stick Cylinder,6060 FS15027.LH.CC.0 Stick Cylinder
6060 FS5458 - STICK CYLINDER-RI - RIGHT,6060 FS,5458 - STICK CYLINDER-RI - RIGHT,15027.RH.CC.0 Stick Cylinder,6060 FS15027.RH.CC.0 Stick Cylinder
6060 FS5459 - SWING DRIVE-LF - LEFT FRONT,6060 FS,5459 - SWING DRIVE-LF - LEFT FRONT,13303.FL.CC.0 Swing Drive,6060 FS13303.FL.CC.0 Swing Drive
6060 FS5459 - SWING DRIVE-LR - LEFT REAR,6060 FS,5459 - SWING DRIVE-LR - LEFT REAR,13303.RL.CC.0 Swing Drive,6060 FS13303.RL.CC.0 Swing Drive
6060 FS5459 - SWING DRIVE-RF - RIGHT FRONT,6060 FS,5459 - SWING DRIVE-RF - RIGHT FRONT,13303.FR.CC.0 Swing Drive,6060 FS13303.FR.CC.0 Swing Drive
6060 FS5459 - SWING DRIVE-RR - RIGHT REAR,6060 FS,5459 - SWING DRIVE-RR - RIGHT REAR,13303.RR.CC.0 Swing Drive,6060 FS13303.RR.CC.0 Swing Drive
6060 FS545D - CLAM CYLINDER-LT - LEFT,6060 FS,545D - CLAM CYLINDER-LT - LEFT,15034.LH.CC.0 Clam Cylinder,6060 FS15034.LH.CC.0 Clam Cylinder
6060 FS545D - CLAM CYLINDER-RI - RIGHT,6060 FS,545D - CLAM CYLINDER-RI - RIGHT,15034.RH.CC.0 Clam Cylinder,6060 FS15034.RH.CC.0 Clam Cylinder
6060 FS5460 - SWING BRAKE-LF - LEFT FRONT,6060 FS,5460 - SWING BRAKE-LF - LEFT FRONT,14020.FL.CNC.0 Swing Brake,6060 FS14020.FL.CNC.0 Swing Brake
6060 FS5460 - SWING BRAKE-LR - LEFT REAR,6060 FS,5460 - SWING BRAKE-LR - LEFT REAR,14020.RL.CNC.0 Swing Brake,6060 FS14020.RL.CNC.0 Swing Brake
6060 FS5460 - SWING BRAKE-RF - RIGHT FRONT,6060 FS,5460 - SWING BRAKE-RF - RIGHT FRONT,14020.FR.CNC.0 Swing Brake,6060 FS14020.FR.CNC.0 Swing Brake
6060 FS5460 - SWING BRAKE-RR - RIGHT REAR,6060 FS,5460 - SWING BRAKE-RR - RIGHT REAR,14020.RR.CNC.0 Swing Brake,6060 FS14020.RR.CNC.0 Swing Brake
6060 FS5473 - SWING PUMP-P01 - P01,6060 FS,5473 - SWING PUMP-P01 - P01,15334.P01.CC.0 Swing Pump,6060 FS15334.P01.CC.0 Swing Pump
6060 FS5473 - SWING PUMP-P02 - P02,6060 FS,5473 - SWING PUMP-P02 - P02,15334.P02.CC.0 Swing Pump,6060 FS15334.P02.CC.0 Swing Pump
6060 FS5473 - SWING PUMP-P03 - P03,6060 FS,5473 - SWING PUMP-P03 - P03,15334.P03.CC.0 Swing Pump,6060 FS15334.P03.CC.0 Swing Pump
6060 FS5473 - SWING PUMP-P04 - P04,6060 FS,5473 - SWING PUMP-P04 - P04,15334.P04.CC.0 Swing Pump,6060 FS15334.P04.CC.0 Swing Pump
6060 FS7063 - SWING GEAR/BEARING-00 - (NONE),6060 FS,7063 - SWING GEAR/BEARING-00 - (NONE),13300.0.CC.0 Slew Bearing,6060 FS13300.0.CC.0 Slew Bearing
6060 FS7516 - LUBRICATION PUMP-LH - LOWER,6060 FS,7516 - LUBRICATION PUMP-LH - LOWER,15322.LH.CC.0 PTO Lube Pump,6060 FS15322.LH.CC.0 PTO Lube Pump
6060 FS7516 - LUBRICATION PUMP-UZ - UPPER,6060 FS,7516 - LUBRICATION PUMP-UZ - UPPER,15322.RH.CC.0 PTO Lube Pump,6060 FS15322.RH.CC.0 PTO Lube Pump
6060 FS79PA - SWING DRIVE MOTOR-LF - LEFT FRONT,6060 FS,79PA - SWING DRIVE MOTOR-LF - LEFT FRONT,15210.FL.CC.0 Swing Motor,6060 FS15210.FL.CC.0 Swing Motor
6060 FS79PA - SWING DRIVE MOTOR-LR - LEFT REAR,6060 FS,79PA - SWING DRIVE MOTOR-LR - LEFT REAR,15210.RL.CC.0 Swing Motor,6060 FS15210.RL.CC.0 Swing Motor
6060 FS79PA - SWING DRIVE MOTOR-RF - RIGHT FRONT,6060 FS,79PA - SWING DRIVE MOTOR-RF - RIGHT FRONT,15210.FR.CC.0 Swing Motor,6060 FS15210.FR.CC.0 Swing Motor
6060 FS79PA - SWING DRIVE MOTOR-RR - RIGHT REAR,6060 FS,79PA - SWING DRIVE MOTOR-RR - RIGHT REAR,15210.RR.CC.0 Swing Motor,6060 FS15210.RR.CC.0 Swing Motor
6060 FS89AQ - TRAVEL BRAKE-11 - P 11 - Whl Pos LRF,6060 FS,89AQ - TRAVEL BRAKE-11 - P 11 - Whl Pos LRF,14021.FL.CC.0 Travel Brake,6060 FS14021.FL.CC.0 Travel Brake
6060 FS89AQ - TRAVEL BRAKE-13 - P 13 - Whl Pos LRR,6060 FS,89AQ - TRAVEL BRAKE-13 - P 13 - Whl Pos LRR,14021.RL.CC.0 Travel Brake,6060 FS14021.RL.CC.0 Travel Brake
6060 FS89AQ - TRAVEL BRAKE-14 - P 14 - Whl Pos RRF,6060 FS,89AQ - TRAVEL BRAKE-14 - P 14 - Whl Pos RRF,14021.FR.CC.0 Travel Brake,6060 FS14021.FR.CC.0 Travel Brake
6060 FS89AQ - TRAVEL BRAKE-16 - P 16 - Whl Pos RRR,6060 FS,89AQ - TRAVEL BRAKE-16 - P 16 - Whl Pos RRR,14021.RR.CC.0 Travel Brake,6060 FS14021.RR.CC.0 Travel Brake
6060 FS89BU - ENGINE FAN PUMP-LT - LEFT,6060 FS,89BU - ENGINE FAN PUMP-LT - LEFT,15309.LH.CC.0 Engine Cooling Fan Pump,6060 FS15309.LH.CC.0 Engine Cooling Fan Pump
6060 FS89BU - ENGINE FAN PUMP-RI - RIGHT,6060 FS,89BU - ENGINE FAN PUMP-RI - RIGHT,15309.RH.CC.0 Engine Cooling Fan Pump,6060 FS15309.RH.CC.0 Engine Cooling Fan Pump
6060 FS89CS - ENGINE FAN MOTOR-LT - LEFT,6060 FS,89CS - ENGINE FAN MOTOR-LT - LEFT,15204.LH.CC.0 Engine Cooling Fan Motor,6060 FS15204.LH.CC.0 Engine Cooling Fan Motor
6060 FS89CS - ENGINE FAN MOTOR-RI - RIGHT,6060 FS,89CS - ENGINE FAN MOTOR-RI - RIGHT,15204.RH.CC.0 Engine Cooling Fan Motor,6060 FS15204.RH.CC.0 Engine Cooling Fan Motor
6060 FS,6060 FS,,11205.LH.CC.0 Engine Mid-Life,6060 FS11205.LH.CC.0 Engine Mid-Life
6060 FS,6060 FS,,11205.RH.CC.0 Engine Mid-Life,6060 FS11205.RH.CC.0 Engine Mid-Life
6060 FS,6060 FS,,15402.BL.CC.0 Main Control Valve,6060 FS15402.BL.CC.0 Main Control Valve
6060 FS,6060 FS,,16108.0.CCNP.0 Bucket - Reserve Strategy (Change Out ONLY),6060 FS16108.0.CCNP.0 Bucket - Reserve Strategy (Change Out ONLY)
6060 FS,6060 FS,,16128.0.CNCNP.0 Bucket / Body / Blade (Refurb / Re-line ONLY),6060 FS16128.0.CNCNP.0 Bucket / Body / Blade (Refurb / Re-line ONLY)
6060 FS,6060 FS,,17504.0.CC.0 Boom,6060 FS17504.0.CC.0 Boom
6060 FS,6060 FS,,17506.0.CNC.0 Car Body (Centre Frame),6060 FS17506.0.CNC.0 Car Body (Centre Frame)
6060 FS,6060 FS,,17507.0.CNC.0 Chassis (Main Frame),6060 FS17507.0.CNC.0 Chassis (Main Frame)
6060 FS,6060 FS,,17519.0.CC.0 Stick,6060 FS17519.0.CC.0 Stick
6060 FS,6060 FS,,"18208.LH.CC.0 Track Pins, Nuts & Bolts","6060 FS18208.LH.CC.0 Track Pins, Nuts & Bolts"
6060 FS,6060 FS,,"18208.RH.CC.0 Track Pins, Nuts & Bolts","6060 FS18208.RH.CC.0 Track Pins, Nuts & Bolts"
6060 FS,6060 FS,,13301.0.CC.0 Slew Brg Craneage,6060 FS13301.0.CC.0 Slew Brg Craneage
6060 FS,6060 FS,,13302.0.CC.0 Slew Brg Labour,6060 FS13302.0.CC.0 Slew Brg Labour
6060 FS,6060 FS,,15111.0.CC.0 Boom Arch Hose Group,6060 FS15111.0.CC.0 Boom Arch Hose Group
6060 FS,6060 FS,,15402.BR.CC.0 Main Control Valve,6060 FS15402.BR.CC.0 Main Control Valve
6060 FS,6060 FS,,15402.TL.CC.0 Main Control Valve,6060 FS15402.TL.CC.0 Main Control Valve
773D1000 - ENGINE-00 - (NONE),773D,1000 - ENGINE-00 - (NONE),11204.0.CC.0 Engine,773D11204.0.CC.0 Engine
