CONCAT(XREF),MODEL,AMT COMPONENT CODE,MACA/Downer,CONCAT AMT
773E4180 - TRACK ROLLER-R02 - RIGHT NO.02,773E,4180 - TRACK ROLLER-R02 - RIGHT NO.02,18101.R02.CNCNP.0 Load Roller,773E18101.R02.CNCNP.0 Load Roller
773E4180 - TRACK ROLLER-R03 - RIGHT NO.03,773E,4180 - TRACK ROLLER-R03 - RIGHT NO.03,18101.R03.CNCNP.0 Load Roller,773E18101.R03.CNCNP.0 Load Roller
773E4180 - TRACK ROLLER-R04 - RIGHT NO.04,773E,4180 - TRACK ROLLER-R04 - RIGHT NO.04,18101.R04.CNCNP.0 Load Roller,773E18101.R04.CNCNP.0 Load Roller
773E4180 - TRACK ROLLER-R05 - RIGHT NO.05,773E,4180 - TRACK ROLLER-R05 - RIGHT NO.05,18101.R05.CNCNP.0 Load Roller,773E18101.R05.CNCNP.0 Load Roller
773E4180 - TRACK ROLLER-R06 - RIGHT NO.06,773E,4180 - TRACK ROLLER-R06 - RIGHT NO.06,18101.R06.CNCNP.0 Load Roller,773E18101.R06.CNCNP.0 Load Roller
773E4180 - TRACK ROLLER-R07 - RIGHT NO.07,773E,4180 - TRACK ROLLER-R07 - RIGHT NO.07,18101.R07.CNCNP.0 Load Roller,773E18101.R07.CNCNP.0 Load Roller
773E4180 - TRACK ROLLER-R08 - RIGHT NO. 08,773E,4180 - TRACK ROLLER-R08 - RIGHT NO. 08,18101.R08.CNCNP.0 Load Roller,773E18101.R08.CNCNP.0 Load Roller
773E4159 - IDLER/IDLER WHEEL-LF - LEFT FRONT,773E,4159 - IDLER/IDLER WHEEL-LF - LEFT FRONT,18102.FL.CNCNP.0 Track Idler,773E18102.FL.CNCNP.0 Track Idler
773E4159 - IDLER/IDLER WHEEL-RF - RIGHT FRONT,773E,4159 - IDLER/IDLER WHEEL-RF - RIGHT FRONT,18102.FR.CNCNP.0 Track Idler,773E18102.FR.CNCNP.0 Track Idler
773E4159 - IDLER/IDLER WHEEL-LR - LEFT REAR,773E,4159 - IDLER/IDLER WHEEL-LR - LEFT REAR,18102.RL.CNCNP.0 Track Idler,773E18102.RL.CNCNP.0 Track Idler
773E4159 - IDLER/IDLER WHEEL-RR - RIGHT REAR,773E,4159 - IDLER/IDLER WHEEL-RR - RIGHT REAR,18102.RR.CNCNP.0 Track Idler,773E18102.RR.CNCNP.0 Track Idler
773E4164 - SPROCKET ASSEMBLY-LT - LEFT,773E,4164 - SPROCKET ASSEMBLY-LT - LEFT,18202.LH.CNCNP.0 Sprocket,773E18202.LH.CNCNP.0 Sprocket
773E,773E,,18202.RH.CNCNP.0 Sprocket,773E18202.RH.CNCNP.0 Sprocket
773E4170 - TRACK ASSEMBLY-LT - LEFT,773E,4170 - TRACK ASSEMBLY-LT - LEFT,18204.LH.CNCNP.0 Track Assembly,773E18204.LH.CNCNP.0 Track Assembly
773E4170 - TRACK ASSEMBLY-RI - RIGHT,773E,4170 - TRACK ASSEMBLY-RI - RIGHT,18204.RH.CNCNP.0 Track Assembly,773E18204.RH.CNCNP.0 Track Assembly
773E,773E,,16101.0.CC.0 Blade - Reserve Strategy (Change Out ONLY),773E16101.0.CC.0 Blade - Reserve Strategy (Change Out ONLY)
773E4154 - CARRIER ROLLER-L01 - LEFT NO. 01,773E,4154 - CARRIER ROLLER-L01 - LEFT NO. 01,18100.L01.CNCNP.0 Carrier Roller,773E18100.L01.CNCNP.0 Carrier Roller
773E4154 - CARRIER ROLLER-R01 - RIGHT NO. 01,773E,4154 - CARRIER ROLLER-R01 - RIGHT NO. 01,18100.R01.CNCNP.0 Carrier Roller,773E18100.R01.CNCNP.0 Carrier Roller
773E,773E,,13014.FL.CC.0 Wheel Group,773E13014.FL.CC.0 Wheel Group
773E,773E,,13014.FR.CC.0 Wheel Group,773E13014.FR.CC.0 Wheel Group
773E4263 - BRAKE ACCUMULATOR-00 - (NONE),773E,4263 - BRAKE ACCUMULATOR-00 - (NONE),14002.0.CNCNP.0 Brake Accumulator,773E14002.0.CNCNP.0 Brake Accumulator
773E1365 - BRAKE/AXLE OIL COOLER-FR - FRONT,773E,1365 - BRAKE/AXLE OIL COOLER-FR - FRONT,14015.FT.CNCNP.0 Brake Oil Cooler,773E14015.FT.CNCNP.0 Brake Oil Cooler
